"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Old Man Winter Clone","Robust Porter",1.072,1.023,6.45,48.08,27.38
"Victory at Sea Clone","American Porter",1.105,1.031,9.62,139.4,50
"Drunken Porter","Robust Porter",1.072,1.018,7.08,54.38,34.63
"Highland Smoked Porter","Baltic Porter",1.064,1.019,5.97,30.17,22.85
"Carrot Cake Porter","Brown Porter",1.055,1.014,5.46,17.37,28.67
"Rogue Mocha Porter Clone","Robust Porter",1.072,1.018,7.11,44.69,40
"Baltic Porter","Baltic Porter",16.3181,4.25373,6.58,31.54,24.14
"Touchstone Stout Porter","Robust Porter",1.057,1.014,5.57,40.15,27.75
"Polar Vortex","Robust Porter",1.057,1.013,5.68,44.09,36.91
"Shallow Grave Porter Clone","Robust Porter",1.084,1.019,8.5,71.71,38.74
"Black Berry Porter","Baltic Porter",1.053,1.009,5.75,24.34,22.57
"Robust porter 14 liter","Robust Porter",1.05,1.01,5.17,36.66,39.96
"Strong Vanilla Porter","Baltic Porter",1.086,1.018,8.91,35.19,32
"Shallow Grave Porter","Robust Porter",1.063,1.012,6.69,41.86,32.53
"Vanilla Porter","Brown Porter",1.074,1.021,7,27.28,27.01
"Dark Chocolate Porter","Brown Porter",1.051,1.017,4.51,0,28.1
"?A?AVA MARA GRIJE STROJ","Baltic Porter",1.068,1.013,7.13,31.82,29.36
"Nøgne Ø Porter Clone","Robust Porter",1.064,1.015,6.51,32.66,30.27
"Rum barrel porter(revised)","Baltic Porter",1.082,1.013,9.06,43.65,26.11
"Cherrywood Smoked Porter","Robust Porter",1.06,1.014,6.09,40.6,32.9
"Black tie rye porter","Brown Porter",1.053,1.014,5.16,32.31,28.86
"Chocolate Ginger root Porter","Robust Porter",1.055,1.014,5.42,23.21,32.76
"Chocolate orange porter","Brown Porter",1.062,1.016,6.14,32.35,30.19
"Porter","Robust Porter",1.063,1.017,6.05,60.01,29.39
"Birthday Porter","Baltic Porter",1.052,1.014,5.01,33.32,23
"Porter  Porter  Where's your Daughter ??","Robust Porter",1.074,1.02,7.06,54.88,37.26
"15 Smoked Porter","Baltic Porter",19.7869,3.76684,8.83,48.33,38.4
"1823 Devenish Porter","Robust Porter",1.056,1.013,5.58,71.86,29.69
"Cafe Porter","Robust Porter",1.059,1.017,5.6,34,27.23
"Founders Porter","Robust Porter",1.071,1.018,6.95,0,29.07
"Bruce's Burnt Porter","Robust Porter",1.063,1.017,6.03,74.29,40
"Imperial Stout","English Porter",1.069,1.017,6.8,35.58,37.36
"Baltic Honey Oatmeal Porter","Baltic Porter",1.08,1.013,8.79,31.11,27.42
"Adam's Vanilla Porter","Brown Porter",1.08,1.02,7.85,51.05,39.23
"Vanilla Porter","Robust Porter",1.059,1.016,5.62,34.38,32.68
"Porter","Robust Porter",1.046,1.01,4.73,35.2,34.43
"CØL","Baltic Porter",1.06,1.015,5.89,37.65,28.94
"Porter  Call Me a Taxi","Robust Porter",1.06,1.016,5.8,32.32,40
"Mayan Delight","Robust Porter",1.067,1.018,6.4,24.34,35.27
"Robust Porter - Lonesome Whistle","Robust Porter",1.066,1.015,6.72,41.22,38.56
"Founders porter clone II","Robust Porter",1.061,1.015,6.02,42.57,34.88
"Hipster Porter","Robust Porter",1.058,1.016,5.55,45.88,40
"Red dog","Baltic Porter",1.071,1.018,6.97,23.88,23.8
"Ch'ti Porter","Brown Porter",1.067,1.019,6.35,41.21,22.24
"Dempsey's Black Dog Porter PM","Robust Porter",1.056,1.016,5.26,40.84,26.58
"Smoked Chipotle Porter","Baltic Porter",1.081,1.023,7.66,49.72,24.4
"Dry Porter","American Porter",1.066,1.011,7.2,21.23,35.27
"(Medal)Coconut porter","Robust Porter",1.068,1.02,6.4,36.93,31.01
"London/Edinburgh Porter","Robust Porter",1.059,1.016,5.66,25.5,35.92
"Piney Island Porter","Brown Porter",1.066,1.019,6.1,15.31,22.75
"Chocolate Vanilla Porter (Edited)","Robust Porter",1.059,1.017,5.58,33.85,34.35
"Black Butte Clone","American Porter",1.059,1.021,5.02,34.9,26.77
"White House Honey Porter","Robust Porter",1.063,1.016,6.09,30.76,25.15
"Coffee Creek Porter","Baltic Porter",1.07,1.018,6.93,40.48,25.97
"Pumpkin Porter","Brown Porter",1.042,1.01,4.23,30.96,24.39
"Porter","Robust Porter",1.053,1.013,5.2,33.5,33.22
"Rye Porter","Brown Porter",1.082,1.021,8.09,0,32.73
"Quid & A Pound - 18th Century Brown Porter r...","Brown Porter",1.06,1.013,6.1,54.59,17.78
"Oscar's Porter","Brown Porter",1.046,1.013,4.37,31.3,27.55
"Starry Night Porter","Brown Porter",1.051,1.012,5.11,16.38,28.39
"Porter","Robust Porter",1.062,1.016,6.06,28.44,33.56
"Brewing Bad - Porter","English Porter",1.065,1.018,6.19,30.34,37.92
"Cocoa Porter II","Robust Porter",1.065,1.016,6.37,0,28.57
"100% Brett Porter","Robust Porter",1.058,1.008,6.5,36.13,25.44
"CM Porter","Robust Porter",1.049,1.01,5.11,41.04,31.86
"Awesome Recipe","Robust Porter",1.095,1.024,9.35,93.57,40
"London Porter","Robust Porter",1.065,1.016,6.43,15.63,30.1
"Coffee Porter","Robust Porter",1.054,1.014,5.32,27.8,40
"Maple Sap Porter","Robust Porter",1.075,1.017,7.57,35.3,42.66
"Pendle smoked porter","Brown Porter",1.078,1.016,8.22,30.76,37.99
"Chocolate strawberry porter","Robust Porter",1.073,1.02,6.92,41.56,40
"Marshmallow Porter","Brown Porter",1.06,1.017,5.6,29.9,27.64
"Perleportern","English Porter",1.043,1.008,4.62,25.44,30.64
"Rogue Mocha Porter Clone","Brown Porter",1.049,1.017,4.32,29.31,20.38
"Parkland Robust Chocolate Porter","Robust Porter",1.054,1.016,4.8,0,38.83
"Pingree Porter","Brown Porter",1.058,1.016,5.5,41.81,31.39
"Easy Brown Porter","Brown Porter",1.044,1.01,4.38,21.95,29.44
"Robust Porter-Partial Mash","Robust Porter",1.059,1.014,5.93,65.99,40
"Porter Porter Second Daughter ??!!!!","Brown Porter",1.079,1.021,7.57,56.58,39.9
"TPangolinPorter","Robust Porter",1.062,1.016,5.98,44.06,40
"Smoked Porter","Robust Porter",1.067,1.02,6.07,37.44,30.63
"Chocolate vanilla cream porter","American Porter",1.071,1.018,7.21,36.47,40.07
"George Washington porter v2","Robust Porter",1.062,1.021,5.39,62.55,40
"Preston Vanilla Porter","Brown Porter",1.052,1.014,5,25.79,28.9
"Caleb Porter","Robust Porter",1.059,1.015,5.85,58.1,34.03
"Lumper Dan's scotch style ale","Robust Porter",1.063,1.016,6.1,32.44,23.85
"The Knights Watch Chocolate Porter","Robust Porter",1.061,1.017,5.73,31.58,33.59
"FireBrant Porter","Robust Porter",1.064,1.018,6.05,31.9,40
"Aye Aye Ganesha","Robust Porter",1.058,1.014,5.71,78.16,23.18
"Black Porter","American Porter",1.06,1.018,5.5,26.55,39.25
"#4 Robust porteris","Robust Porter",1.062,1.016,6.15,32.22,26.48
"Extract Porter","Robust Porter",1.064,1.016,6.29,64.72,40
"Zek","Baltic Porter",1.091,1.026,8.62,43.93,29.27
"Wimpy Porter","Brown Porter",1.042,1.01,4.18,23.72,37.53
"Chocolate Vanilla Porter","Robust Porter",1.064,1.015,6.42,64.1,39.76
"Vanilla Coffee Porter","Baltic Porter",1.098,1.028,9.29,101.52,46.95
"Vanilla Porter","Robust Porter",1.062,1.02,5.41,45.47,32.94
"Bakke Brygg Porter ekstrakt","Robust Porter",1.061,1.015,6.04,31.48,18.5
"Baltic porter","Baltic Porter",1.085,1.021,8.33,0,61.37
"Black Dog Porter","Robust Porter",1.051,1.013,5,40.01,15.93
"Strong Rye Porter","Baltic Porter",1.08,1.023,7.6,37.25,24.03
"Christmas Porter","Baltic Porter",1.089,1.022,8.74,34.45,31.9
"Raging Bull Porter","Robust Porter",1.069,1.016,6.93,64.37,29.87
"Smoked 666 Porter","Robust Porter",1.061,1.019,5.51,32.27,32.9
"Raspberry Robust Porter BCS","Robust Porter",1.064,1.02,5.84,22.62,30.88
"Saorsa - Scotch Porter","Robust Porter",1.063,1.014,6.42,41.55,34.69
"Coffee Porter","Robust Porter",1.042,1.011,4.13,0,36.56
"Spite Row Baltic Porter III","Baltic Porter",1.082,1.024,8.21,33.65,29.67
"Three Shutts to the Wind: Portside Honey","Robust Porter",1.059,1.015,5.8,34.35,27.06
"Peanut Butter Cup Porter","American Porter",1.06,1.013,6.16,28.55,28.1
"Robust Porter (Modified 3-12-14)","Robust Porter",1.057,1.013,5.81,32.48,31.76
"Portitualousness (London Porter)","Baltic Porter",1.091,1.028,8.26,32.26,33.55
"Porter chocolate","Robust Porter",1.058,1.015,5.74,33.26,40
"Coffee & Cream Oatmeal Coffee Porter","Robust Porter",1.072,1.022,6.5,39.96,22.22
"White House Honey Porter","Brown Porter",1.064,1.015,6.48,33.4,29.21
"BCS Robust Porter","Robust Porter",1.061,1.017,5.73,35.26,36.93
"Szechuan Porter V2.1","American Porter",1.063,1.013,6.53,29.26,27.53
"Robust Porter","Robust Porter",1.071,1.018,6.93,0,36.57
"Porter","Baltic Porter",1.074,1.018,7.28,30.43,29.99
"Vanilla coffee porter","American Porter",1.059,1.014,5.93,18.87,30.69
"Little  Brown Porter","Brown Porter",1.048,1.013,4.52,48.19,31.36
"BIAB Baltic Porter with Cocoa nibs & Coffee...","Baltic Porter",1.066,1.016,6.46,29.47,27.5
"Magelan Porter 2018.","Robust Porter",1.057,1.009,6.2,50.85,31.59
"Chocolate Jalapeno Porter","Brown Porter",1.048,1.015,4.32,24.97,35.78
"Stout Porter","Robust Porter",1.06,1.011,6.38,32.16,30.09
"Bourborn Vanilla Imperial Porter","Baltic Porter",1.087,1.022,8.6,42.92,40
"No Poor Tear","Robust Porter",1.062,1.016,6.12,47.13,31.32
"Elliot Porter","Brown Porter",1.066,1.018,6.23,22.03,34.93
"Captain Morgan Porter","Brown Porter",1.074,1.019,7.32,57.57,16.44
