Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,Hwy 13 near I90 (WI08.site05)_08,60,-89.80605,43.62648,Bombus impatiens,35,99.16666666666666
Cameron et al. 2011,Hymenoptera,Madison (WI08.site01)_08,60,-89.43149,43.04103,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Madison (WI08.site01)_08,60,-89.43149,43.04103,Bombus impatiens,17,48.166666666666664
Cameron et al. 2011,Hymenoptera,Murphysboro (IL08.site01B)_08,60,-89.41856,37.77345,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Murphysboro (IL08.site01B)_08,60,-89.41856,37.77345,Bombus impatiens,51,144.5
Cameron et al. 2011,Hymenoptera,Castle Rock SP (IL08.site02)_08,60,-89.357038,41.97828,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Castle Rock SP (IL08.site02)_08,60,-89.357038,41.97828,Bombus impatiens,4,11.333333333333332
Cameron et al. 2011,Hymenoptera,"Legacy Inn Canal Rd, Gulfport (MS09.site01)_09",60,-89.13692,30.42013,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Legacy Inn Canal Rd, Gulfport (MS09.site01)_09",60,-89.13692,30.42013,Bombus impatiens,2,5.666666666666666
Cameron et al. 2011,Hymenoptera,Allerton Park (Sunsinger Statue) (IL08.site06)_08,60,-88.66714,39.99363,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (Sunsinger Statue) (IL08.site06)_08,60,-88.66714,39.99363,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (Sunsinger Statue) (IL09.site02A)_09,60,-88.66714,39.99363,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (Sunsinger Statue) (IL09.site02A)_09,60,-88.66714,39.99363,Bombus impatiens,2,5.666666666666666
Cameron et al. 2011,Hymenoptera,Allerton Park (Entrance Prairie) (IL08.site05)_08,60,-88.64484,40.00772,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (Entrance Prairie) (IL08.site05)_08,60,-88.64484,40.00772,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (IL08.site12)_08,60,-88.64484,40.00772,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (IL08.site12)_08,60,-88.64484,40.00772,Bombus impatiens,2,5.666666666666666
Cameron et al. 2011,Hymenoptera,Shawnee NF 4 mi. west of Dixon Springs S.P. (IL08.site16)_08,60,-88.59228,37.37934,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Shawnee NF 4 mi. west of Dixon Springs S.P. (IL08.site16)_08,60,-88.59228,37.37934,Bombus impatiens,17,48.166666666666664
Cameron et al. 2011,Hymenoptera,County Rd 65 NW of Rt25 nr Six Mile (AL09.site04)_09,60,-87.00591,33.04519,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,County Rd 65 NW of Rt25 nr Six Mile (AL09.site04)_09,60,-87.00591,33.04519,Bombus impatiens,4,11.333333333333332
Cameron et al. 2011,Hymenoptera,S of Fletcher (OH09.site05)_09,60,-84.11588,40.09789,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,S of Fletcher (OH09.site05)_09,60,-84.11588,40.09789,Bombus impatiens,20,56.666666666666664
Cameron et al. 2011,Hymenoptera,nr Martinsville (VA09.site01a)_09,60,-79.928056,36.69,Bombus bifarius,0,0
